index,Fuel consumption,ME fuel consumption (kg LNG),DG fuel consumption (kg Diesel),ME load_perc,DG load_perc,MSO-mode,Speed,Current direction,Current magnitude,Wind direction,Wind magnitude
184,3.7450123642598157,3.7450123642598157,0.0,0.1392537023199684,0.0,PTO,3.0,1.5707963267948966,6,0,0
185,3.6725219998295318,3.6725219998295318,0.0,0.13622426485283712,0.0,PTO,3.0,1.5707963267948966,6,0,2
186,3.562251271646127,3.562251271646127,0.0,0.1316342032799337,0.0,PTO,3.0,1.5707963267948966,6,0,5
187,3.4434033664202226,3.4434033664202226,0.0,0.1267389255712932,0.0,PTO,3.0,1.5707963267948966,6,0,8
188,3.3126113383130553,3.3126113383130553,0.0,0.12139026051989293,0.0,PTO,3.0,1.5707963267948966,6,0,11
189,3.0850060959714,3.0850060959714,0.0,0.11221264457990957,0.0,PTO,3.0,1.5707963267948966,6,0,14
190,2.810388320575941,2.810388320575941,0.0,0.10144924276294125,0.0,PTO,3.0,1.5707963267948966,6,0,17
191,2.677279976811589,2.677279976811589,0.0,0.09631326718282127,0.0,PTO,3.0,1.5707963267948966,6,0,20
192,3.676118061460446,3.676118061460446,0.0,0.13637374609111944,0.0,PTO,3.0,3.141592653589793,0,0,0
193,3.6783824128882174,3.6783824128882174,0.0,0.13646843471786307,0.0,PTO,3.0,3.141592653589793,0,0,2
194,3.6828240343974024,3.6828240343974024,0.0,0.13665503075533253,0.0,PTO,3.0,3.141592653589793,0,0,5
195,3.6985103315988037,3.6985103315988037,0.0,0.1373047437718738,0.0,PTO,3.0,3.141592653589793,0,0,8
196,3.720697296705036,3.720697296705036,0.0,0.13824398761686763,0.0,PTO,3.0,3.141592653589793,0,0,11
197,3.7598703755974427,3.7598703755974427,0.0,0.13986319891559496,0.0,PTO,3.0,3.141592653589793,0,0,14
198,3.8055285510679875,3.8055285510679875,0.0,0.1417819575901686,0.0,PTO,3.0,3.141592653589793,0,0,17
199,3.864685978234409,3.864685978234409,0.0,0.14426336875632104,0.0,PTO,3.0,3.141592653589793,0,0,20
200,2.6790159955552437,2.6790159955552437,0.0,0.09638229714537738,0.0,PTO,3.0,3.141592653589793,2,0,0
201,2.678925325135927,2.678925325135927,0.0,0.09637890411299875,0.0,PTO,3.0,3.141592653589793,2,0,2
202,2.6795907988796515,2.6795907988796515,0.0,0.09640439193979682,0.0,PTO,3.0,3.141592653589793,2,0,5
203,2.685094303371607,2.685094303371607,0.0,0.09661719045434718,0.0,PTO,3.0,3.141592653589793,2,0,8
204,2.694592895424046,2.694592895424046,0.0,0.09698368529235221,0.0,PTO,3.0,3.141592653589793,2,0,11
205,2.708221245983325,2.708221245983325,0.0,0.09750956886278837,0.0,PTO,3.0,3.141592653589793,2,0,14
206,2.727360687910785,2.727360687910785,0.0,0.09825044656636209,0.0,PTO,3.0,3.141592653589793,2,0,17
207,2.753453966406032,2.753453966406032,0.0,0.09926209162109072,0.0,PTO,3.0,3.141592653589793,2,0,20
208,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,0
209,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,2
210,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,5
211,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,8
212,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,11
213,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,14
214,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,17
215,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,4,0,20
216,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,0
217,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,2
218,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,5
219,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,8
220,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,11
221,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,14
222,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,17
223,2.5802595259868752,2.5802595259868752,0.0,0.09259259259259274,0.0,PTO,3.0,3.141592653589793,6,0,20
224,3.676118061460446,3.676118061460446,0.0,0.13637374609111944,0.0,PTO,3.0,4.71238898038469,0,0,0
225,3.6783824128882174,3.6783824128882174,0.0,0.13646843471786307,0.0,PTO,3.0,4.71238898038469,0,0,2
226,3.6828240343974024,3.6828240343974024,0.0,0.13665503075533253,0.0,PTO,3.0,4.71238898038469,0,0,5
227,3.6985103315988037,3.6985103315988037,0.0,0.1373047437718738,0.0,PTO,3.0,4.71238898038469,0,0,8
228,3.720697296705036,3.720697296705036,0.0,0.13824398761686763,0.0,PTO,3.0,4.71238898038469,0,0,11
229,3.7598703755974427,3.7598703755974427,0.0,0.13986319891559496,0.0,PTO,3.0,4.71238898038469,0,0,14
230,3.8055285510679875,3.8055285510679875,0.0,0.1417819575901686,0.0,PTO,3.0,4.71238898038469,0,0,17
231,3.864685978234409,3.864685978234409,0.0,0.14426336875632104,0.0,PTO,3.0,4.71238898038469,0,0,20
232,3.6837483635320756,3.6837483635320756,0.0,0.1366918127262146,0.0,PTO,3.0,4.71238898038469,2,0,0
233,3.6778894989141393,3.6778894989141393,0.0,0.13644758748929373,0.0,PTO,3.0,4.71238898038469,2,0,2
234,3.669927762208389,3.669927762208389,0.0,0.13611393488335757,0.0,PTO,3.0,4.71238898038469,2,0,5
235,3.668586744162331,3.668586744162331,0.0,0.13606225232782657,0.0,PTO,3.0,4.71238898038469,2,0,8
236,3.6774552771256137,3.6774552771256137,0.0,0.13642232649798586,0.0,PTO,3.0,4.71238898038469,2,0,11
237,3.691977963677719,3.691977963677719,0.0,0.1370190631888292,0.0,PTO,3.0,4.71238898038469,2,0,14
238,3.7093779063302286,3.7093779063302286,0.0,0.13773915835923825,0.0,PTO,3.0,4.71238898038469,2,0,17
239,3.7292423723168104,3.7292423723168104,0.0,0.13854633500223806,0.0,PTO,3.0,4.71238898038469,2,0,20
240,3.708294841605942,3.708294841605942,0.0,0.1377118538900601,0.0,PTO,3.0,4.71238898038469,4,0,0
241,3.676036361522328,3.676036361522328,0.0,0.13636981304041484,0.0,PTO,3.0,4.71238898038469,4,0,2
242,3.6261511340662236,3.6261511340662236,0.0,0.13430128439787206,0.0,PTO,3.0,4.71238898038469,4,0,5
243,3.5832596555751155,3.5832596555751155,0.0,0.13250961823265922,0.0,PTO,3.0,4.71238898038469,4,0,8
244,3.5380669652922014,3.5380669652922014,0.0,0.13063181549052372,0.0,PTO,3.0,4.71238898038469,4,0,11
